"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","2018-04-12","11.63",,"0.06","0.0","43","55","36","  210","  210","21.9","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-13","9.40",,"0.00","0.0","55","69","44","  220","  220","23.0","33.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-14","13.20",,"0.00","0.0","47","52","38","   40","   50","23.9","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-15","22.37",,"0.04","0.0","36","39","33","   70","   50","30.0","35.1","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2018-04-16","19.69",,"1.57","0.0","40","53","36","  110","  120","32.0","40.0","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2018-04-17","15.43",,"0.00","0.0","47","50","40","  230","  240","25.1","30.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-18","14.54",,"0.00","0.0","44","53","36","  270","  270","23.9","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-19","8.28",,"0.23","0.0","42","44","36","  320","  310","19.9","23.0","    1",,,"    1",,,,
"USW00014739","BOSTON, MA US","2018-04-20","16.11",,"0.00","0.0","44","53","36","  320","  290","25.9","35.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-21","11.41",,"0.00","0.0","47","59","39","  300","  300","19.9","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-22","8.95",,"0.00","0.0","51","62","42","  110","  320","17.0","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-23","10.51",,"0.00","0.0","50","58","43","  200","  220","19.9","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-24","12.30",,"0.00","0.0","54","69","42","  190","  170","21.9","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-25","9.17",,"0.72","0.0","50","56","47","  110","  110","21.0","25.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-04-26","11.63",,"0.21","0.0","57","68","50","  270","  270","23.0","30.0","    1","    1",,,,,,
