ID,Price,neighborhood,accommodates,Number of bathrooms,Number of Bedrooms,n beds,Review Scores Rating,Number of reviews,listing_url
2410846,90,Beacon Hill,2,NA,1,1,93,36,https://www.airbnb.com/rooms/2410846
2444202,65,Back Bay,2,NA,1,2,NA,0,https://www.airbnb.com/rooms/2444202
2495047,144,South End,2,NA,1,0,96,30,https://www.airbnb.com/rooms/2495047
2526773,52,Allston-Brighton,2,NA,1,1,96,15,https://www.airbnb.com/rooms/2526773
2583074,40,Roslindale,1,NA,1,1,99,41,https://www.airbnb.com/rooms/2583074
2658094,114,North End,6,NA,2,0,91,145,https://www.airbnb.com/rooms/2658094
2701124,280,Back Bay,4,NA,1,2,93,78,https://www.airbnb.com/rooms/2701124
2723274,200,Back Bay,2,NA,2,1,98,26,https://www.airbnb.com/rooms/2723274
2737853,160,South End,3,NA,1,1,92,5,https://www.airbnb.com/rooms/2737853
2754975,150,Beacon Hill,4,NA,1,2,97,100,https://www.airbnb.com/rooms/2754975
2764624,52,Dorchester,2,NA,1,1,88,181,https://www.airbnb.com/rooms/2764624
2843445,85,Roslindale,2,NA,1,1,97,75,https://www.airbnb.com/rooms/2843445
2846739,140,South End,1,NA,1,1,87,177,https://www.airbnb.com/rooms/2846739
2881388,650,Back Bay,7,NA,3,3,98,186,https://www.airbnb.com/rooms/2881388
2886933,229,Hyde Park,8,NA,4,4,98,93,https://www.airbnb.com/rooms/2886933
2892825,526,Roxbury,5,NA,3,5,82,14,https://www.airbnb.com/rooms/2892825
2963419,95,Jamaica Plain,1,NA,1,1,98,27,https://www.airbnb.com/rooms/2963419
3068453,55,Cambridge,3,NA,NA,1,82,198,https://www.airbnb.com/rooms/3068453
3164650,89,Hyde Park,6,NA,2,2,88,33,https://www.airbnb.com/rooms/3164650
3193484,40,Dorchester,1,NA,1,1,97,7,https://www.airbnb.com/rooms/3193484
3229255,125,Roslindale,3,NA,1,1,97,117,https://www.airbnb.com/rooms/3229255
3294152,120,Dorchester,4,NA,1,1,90,202,https://www.airbnb.com/rooms/3294152
3302294,175,Back Bay,2,NA,1,1,86,252,https://www.airbnb.com/rooms/3302294
3325306,85,South Boston,2,NA,2,2,92,21,https://www.airbnb.com/rooms/3325306
3344322,70,Dorchester,2,NA,1,1,93,93,https://www.airbnb.com/rooms/3344322
3414993,350,Back Bay,3,NA,1,1,NA,0,https://www.airbnb.com/rooms/3414993
3441982,94,Roxbury,4,NA,NA,2,98,119,https://www.airbnb.com/rooms/3441982
3493840,98,Jamaica Plain,1,NA,1,1,100,7,https://www.airbnb.com/rooms/3493840
3520353,198,Beacon Hill,3,NA,1,1,96,251,https://www.airbnb.com/rooms/3520353
3539510,129,Dorchester,6,NA,3,3,88,31,https://www.airbnb.com/rooms/3539510
3544343,100,Beacon Hill,2,NA,1,1,NA,0,https://www.airbnb.com/rooms/3544343
3575220,50,Roslindale,1,NA,1,1,96,23,https://www.airbnb.com/rooms/3575220
3602379,167,Roxbury,4,NA,1,2,95,254,https://www.airbnb.com/rooms/3602379
3623811,179,Cambridge,3,NA,1,2,91,9,https://www.airbnb.com/rooms/3623811
3628320,125,Dorchester,6,NA,2,2,95,172,https://www.airbnb.com/rooms/3628320
3656168,38,Roxbury,1,NA,1,1,87,6,https://www.airbnb.com/rooms/3656168
3677662,59,Allston-Brighton,2,NA,1,1,96,53,https://www.airbnb.com/rooms/3677662
3693850,74,Jamaica Plain,1,NA,1,1,96,221,https://www.airbnb.com/rooms/3693850
3705824,33,Roxbury,1,NA,1,1,NA,0,https://www.airbnb.com/rooms/3705824
3749523,125,Charlestown,7,NA,4,5,96,276,https://www.airbnb.com/rooms/3749523
3788075,38,Dorchester,2,NA,1,1,92,137,https://www.airbnb.com/rooms/3788075
3890373,232,Beacon Hill,4,NA,1,2,98,237,https://www.airbnb.com/rooms/3890373
3930872,117,Allston-Brighton,6,NA,2,2,100,1,https://www.airbnb.com/rooms/3930872
3957602,94,Jamaica Plain,4,NA,2,2,98,128,https://www.airbnb.com/rooms/3957602
3965313,42,East Boston,4,NA,1,3,88,91,https://www.airbnb.com/rooms/3965313
3968797,85,Roslindale,2,NA,1,2,99,56,https://www.airbnb.com/rooms/3968797
3969526,150,South End,5,NA,2,2,97,344,https://www.airbnb.com/rooms/3969526
4000384,90,Jamaica Plain,2,NA,1,1,98,181,https://www.airbnb.com/rooms/4000384
4085362,85,Roslindale,2,NA,1,1,96,26,https://www.airbnb.com/rooms/4085362
4089940,100,North End,2,NA,1,1,94,56,https://www.airbnb.com/rooms/4089940
4090224,172,South Boston,6,NA,3,3,98,582,https://www.airbnb.com/rooms/4090224
4105704,125,Jamaica Plain,2,NA,1,1,99,256,https://www.airbnb.com/rooms/4105704
4118162,100,North End,2,NA,1,1,92,53,https://www.airbnb.com/rooms/4118162
4148586,225,Back Bay,2,NA,1,1,96,15,https://www.airbnb.com/rooms/4148586
4150640,100,North End,2,NA,NA,1,99,23,https://www.airbnb.com/rooms/4150640
4233242,98,Jamaica Plain,2,NA,1,1,94,39,https://www.airbnb.com/rooms/4233242
4257929,250,Fenway/Kenmore,4,NA,2,2,NA,0,https://www.airbnb.com/rooms/4257929
4278067,60,South End,2,NA,NA,0,94,68,https://www.airbnb.com/rooms/4278067
4294557,280,South End,4,NA,2,2,100,8,https://www.airbnb.com/rooms/4294557
4315428,100,East Boston,2,NA,1,1,80,1,https://www.airbnb.com/rooms/4315428
4315439,80,East Boston,1,NA,1,1,88,5,https://www.airbnb.com/rooms/4315439
4348422,150,Jamaica Plain,2,NA,1,1,NA,0,https://www.airbnb.com/rooms/4348422
4364925,321,South End,7,NA,2,3,96,138,https://www.airbnb.com/rooms/4364925
4364989,60,South End,4,NA,1,0,96,78,https://www.airbnb.com/rooms/4364989
4410765,114,Allston-Brighton,5,NA,3,4,89,9,https://www.airbnb.com/rooms/4410765
4460532,68,Roxbury,1,NA,1,1,99,235,https://www.airbnb.com/rooms/4460532
4461111,50,Roslindale,1,NA,1,1,98,33,https://www.airbnb.com/rooms/4461111
4461613,78,Beacon Hill,2,NA,1,1,94,107,https://www.airbnb.com/rooms/4461613
4461846,66,Beacon Hill,2,NA,1,1,93,80,https://www.airbnb.com/rooms/4461846
4461901,65,Beacon Hill,2,NA,1,1,92,118,https://www.airbnb.com/rooms/4461901
4510513,100,North End,2,NA,NA,0,94,46,https://www.airbnb.com/rooms/4510513
4525875,250,Charlestown,6,NA,2,2,98,43,https://www.airbnb.com/rooms/4525875
4526384,569,Roxbury,6,NA,5,7,82,33,https://www.airbnb.com/rooms/4526384
4566095,120,South End,2,NA,1,1,97,19,https://www.airbnb.com/rooms/4566095
4573238,114,North End,5,NA,2,0,92,155,https://www.airbnb.com/rooms/4573238
4577188,85,Fenway/Kenmore,4,NA,1,2,84,170,https://www.airbnb.com/rooms/4577188
4579186,118,Beacon Hill,2,NA,1,0,87,6,https://www.airbnb.com/rooms/4579186
4580825,77,North End,2,NA,1,1,91,105,https://www.airbnb.com/rooms/4580825
4583526,211,Jamaica Plain,9,NA,4,4,97,193,https://www.airbnb.com/rooms/4583526
4586681,90,Jamaica Plain,1,NA,1,1,100,94,https://www.airbnb.com/rooms/4586681
4593974,36,Roxbury,1,NA,1,1,97,7,https://www.airbnb.com/rooms/4593974
4593985,36,Roxbury,1,NA,1,1,80,1,https://www.airbnb.com/rooms/4593985
4614037,250,East Boston,8,NA,2,7,96,194,https://www.airbnb.com/rooms/4614037
4623114,67,Beacon Hill,2,NA,1,1,93,106,https://www.airbnb.com/rooms/4623114
4624582,35,Roxbury,1,NA,1,1,90,4,https://www.airbnb.com/rooms/4624582
4630071,49,Allston-Brighton,1,NA,1,1,100,13,https://www.airbnb.com/rooms/4630071
4632511,265,Beacon Hill,4,NA,2,2,90,68,https://www.airbnb.com/rooms/4632511
4662379,300,Allston-Brighton,12,NA,5,7,98,116,https://www.airbnb.com/rooms/4662379
4670285,65,Allston-Brighton,2,NA,1,1,95,22,https://www.airbnb.com/rooms/4670285
4699828,135,Hyde Park,7,NA,2,3,93,105,https://www.airbnb.com/rooms/4699828
4710583,41,Allston-Brighton,2,NA,1,1,100,3,https://www.airbnb.com/rooms/4710583
4737304,65,Allston-Brighton,2,NA,1,1,95,25,https://www.airbnb.com/rooms/4737304
4755586,25,Mattapan,1,NA,1,1,94,19,https://www.airbnb.com/rooms/4755586
4757808,110,Beacon Hill,4,NA,1,2,88,5,https://www.airbnb.com/rooms/4757808
4863108,72,South Boston,2,NA,1,1,94,211,https://www.airbnb.com/rooms/4863108
4909590,79,Allston-Brighton,2,NA,NA,2,98,336,https://www.airbnb.com/rooms/4909590
4924009,40,Cambridge,2,NA,NA,1,81,180,https://www.airbnb.com/rooms/4924009
4978467,250,Beacon Hill,2,NA,2,1,100,6,https://www.airbnb.com/rooms/4978467
4995033,126,Beacon Hill,3,NA,2,2,99,99,https://www.airbnb.com/rooms/4995033
5019306,265,South Boston,4,NA,2,2,98,118,https://www.airbnb.com/rooms/5019306
5047340,400,Allston-Brighton,10,NA,4,4,98,219,https://www.airbnb.com/rooms/5047340
5048406,43,Dorchester,1,NA,5,7,97,31,https://www.airbnb.com/rooms/5048406
5049582,60,Jamaica Plain,2,NA,1,1,97,23,https://www.airbnb.com/rooms/5049582
5054601,61,South Boston,2,NA,1,1,92,152,https://www.airbnb.com/rooms/5054601
5064995,147,Beacon Hill,2,NA,2,2,90,23,https://www.airbnb.com/rooms/5064995
5088560,400,Roxbury,4,NA,2,2,100,99,https://www.airbnb.com/rooms/5088560
5317935,400,Roxbury,12,NA,3,6,100,9,https://www.airbnb.com/rooms/5317935
5358934,42,Roxbury,1,NA,1,1,100,6,https://www.airbnb.com/rooms/5358934
5364137,39,East Boston,2,NA,1,1,89,82,https://www.airbnb.com/rooms/5364137
5371051,93,Mattapan,5,NA,3,4,96,260,https://www.airbnb.com/rooms/5371051
5434353,130,Roslindale,3,NA,2,2,92,24,https://www.airbnb.com/rooms/5434353
5478135,195,East Boston,4,NA,2,2,97,27,https://www.airbnb.com/rooms/5478135
5495267,36,Roxbury,1,NA,1,1,100,2,https://www.airbnb.com/rooms/5495267
5511911,240,North End,2,NA,1,1,100,1,https://www.airbnb.com/rooms/5511911
5581575,170,Back Bay,5,NA,2,2,99,194,https://www.airbnb.com/rooms/5581575
5606682,90,Allston-Brighton,4,NA,2,2,88,125,https://www.airbnb.com/rooms/5606682
5690424,310,Beacon Hill,7,NA,4,4,92,124,https://www.airbnb.com/rooms/5690424
5709298,144,Beacon Hill,4,NA,2,2,97,324,https://www.airbnb.com/rooms/5709298
5717690,280,Roxbury,4,NA,1,1,85,79,https://www.airbnb.com/rooms/5717690
5718801,68,Beacon Hill,2,NA,1,1,92,124,https://www.airbnb.com/rooms/5718801
5718921,100,Beacon Hill,5,NA,2,2,89,137,https://www.airbnb.com/rooms/5718921
5738018,95,Jamaica Plain,4,NA,2,1,NA,0,https://www.airbnb.com/rooms/5738018
5739119,85,Allston-Brighton,2,NA,2,2,99,96,https://www.airbnb.com/rooms/5739119
5746844,58,Roxbury,1,NA,1,1,98,9,https://www.airbnb.com/rooms/5746844
5768819,77,Beacon Hill,2,NA,1,1,90,114,https://www.airbnb.com/rooms/5768819
5769127,75,Beacon Hill,2,NA,1,1,92,185,https://www.airbnb.com/rooms/5769127
5775139,70,Allston-Brighton,2,NA,1,1,NA,0,https://www.airbnb.com/rooms/5775139
5806428,125,East Boston,2,NA,NA,1,94,31,https://www.airbnb.com/rooms/5806428
5813177,62,Fenway/Kenmore,2,NA,1,1,NA,0,https://www.airbnb.com/rooms/5813177
5822827,198,South End,4,NA,2,2,95,5,https://www.airbnb.com/rooms/5822827
5825829,139,Fenway/Kenmore,2,NA,1,1,98,115,https://www.airbnb.com/rooms/5825829
5834413,899,Fenway/Kenmore,5,NA,2,3,80,4,https://www.airbnb.com/rooms/5834413
5844314,50,Dorchester,5,NA,1,2,90,225,https://www.airbnb.com/rooms/5844314
5856633,350,South Boston,5,NA,2,3,100,1,https://www.airbnb.com/rooms/5856633
5862806,50,Dorchester,2,NA,1,1,96,69,https://www.airbnb.com/rooms/5862806
5870922,48,Allston-Brighton,2,NA,1,1,98,217,https://www.airbnb.com/rooms/5870922
5882411,74,Jamaica Plain,1,NA,1,1,97,156,https://www.airbnb.com/rooms/5882411
5903001,186,Back Bay,2,NA,1,1,91,34,https://www.airbnb.com/rooms/5903001
5919529,554,Back Bay,6,NA,3,2,100,15,https://www.airbnb.com/rooms/5919529
5927267,61,South Boston,2,NA,1,1,89,147,https://www.airbnb.com/rooms/5927267
5932402,100,South End,2,NA,1,1,NA,0,https://www.airbnb.com/rooms/5932402
5940866,75,East Boston,2,NA,1,1,98,355,https://www.airbnb.com/rooms/5940866
5967421,49,Allston-Brighton,2,NA,1,1,96,171,https://www.airbnb.com/rooms/5967421
6066455,421,Back Bay,8,NA,4,5,99,188,https://www.airbnb.com/rooms/6066455
6179374,45,Allston-Brighton,1,NA,1,0,70,6,https://www.airbnb.com/rooms/6179374
6238463,99,Jamaica Plain,2,NA,1,1,100,158,https://www.airbnb.com/rooms/6238463
6401859,89,Hyde Park,3,NA,1,1,98,117,https://www.airbnb.com/rooms/6401859
6426364,80,South End,4,NA,1,0,97,77,https://www.airbnb.com/rooms/6426364
6444303,153,South End,2,NA,1,2,99,203,https://www.airbnb.com/rooms/6444303
6465075,400,Jamaica Plain,10,NA,5,6,98,112,https://www.airbnb.com/rooms/6465075
6489209,53,South Boston,2,NA,1,1,93,65,https://www.airbnb.com/rooms/6489209
6513924,90,Roslindale,1,NA,1,1,94,105,https://www.airbnb.com/rooms/6513924
6554785,99,Beacon Hill,2,NA,NA,1,95,216,https://www.airbnb.com/rooms/6554785
6576530,569,Roxbury,6,NA,3,8,81,15,https://www.airbnb.com/rooms/6576530
6603827,50,Roslindale,1,NA,1,1,98,10,https://www.airbnb.com/rooms/6603827
6646604,83,Allston-Brighton,3,NA,1,1,88,31,https://www.airbnb.com/rooms/6646604
6677469,277,South End,4,NA,2,2,100,54,https://www.airbnb.com/rooms/6677469
6685682,104,Roxbury,4,NA,1,2,95,96,https://www.airbnb.com/rooms/6685682
6690605,200,Charlestown,4,NA,1,2,94,24,https://www.airbnb.com/rooms/6690605
6716872,200,Allston-Brighton,1,NA,1,1,NA,0,https://www.airbnb.com/rooms/6716872
6758443,70,Beacon Hill,2,NA,1,1,93,135,https://www.airbnb.com/rooms/6758443
6758482,66,Beacon Hill,2,NA,1,1,90,109,https://www.airbnb.com/rooms/6758482
6759004,70,Beacon Hill,2,NA,1,1,95,153,https://www.airbnb.com/rooms/6759004
6759439,65,Beacon Hill,2,NA,1,1,93,48,https://www.airbnb.com/rooms/6759439
6763409,69,Beacon Hill,2,NA,1,1,92,185,https://www.airbnb.com/rooms/6763409
6764572,95,Jamaica Plain,2,NA,1,1,96,224,https://www.airbnb.com/rooms/6764572
6780077,70,Dorchester,2,NA,1,1,98,26,https://www.airbnb.com/rooms/6780077
6793945,105,South End,4,NA,1,1,98,100,https://www.airbnb.com/rooms/6793945
6800522,33,Roxbury,1,NA,1,1,98,11,https://www.airbnb.com/rooms/6800522
6810723,66,Beacon Hill,2,NA,1,1,89,72,https://www.airbnb.com/rooms/6810723
6819620,37,Roxbury,1,NA,1,1,92,5,https://www.airbnb.com/rooms/6819620
6851459,65,Beacon Hill,2,NA,1,1,96,129,https://www.airbnb.com/rooms/6851459
6851460,79,Beacon Hill,2,NA,1,1,89,74,https://www.airbnb.com/rooms/6851460
6862594,60,Jamaica Plain,2,NA,1,1,NA,0,https://www.airbnb.com/rooms/6862594
6879036,65,Beacon Hill,2,NA,1,1,96,194,https://www.airbnb.com/rooms/6879036
6882615,68,Beacon Hill,2,NA,1,1,94,192,https://www.airbnb.com/rooms/6882615
6914155,59,Dorchester,1,NA,1,1,NA,0,https://www.airbnb.com/rooms/6914155
6921672,250,Jamaica Plain,4,NA,2,2,100,1,https://www.airbnb.com/rooms/6921672
6951829,899,Fenway/Kenmore,5,NA,2,3,94,10,https://www.airbnb.com/rooms/6951829
6990904,161,Jamaica Plain,2,NA,1,1,93,25,https://www.airbnb.com/rooms/6990904
7018497,200,North End,4,NA,2,2,90,6,https://www.airbnb.com/rooms/7018497
7053454,200,Charlestown,2,NA,1,1,95,8,https://www.airbnb.com/rooms/7053454
7055184,35,Allston-Brighton,1,NA,1,1,50,2,https://www.airbnb.com/rooms/7055184
7086825,50,Roslindale,2,NA,1,1,98,17,https://www.airbnb.com/rooms/7086825
7093109,200,Roslindale,6,NA,2,4,100,42,https://www.airbnb.com/rooms/7093109
7093184,34,Roxbury,1,NA,1,1,94,7,https://www.airbnb.com/rooms/7093184
7161203,34,Roxbury,1,NA,1,1,97,6,https://www.airbnb.com/rooms/7161203
7179321,71,East Boston,2,NA,1,1,99,17,https://www.airbnb.com/rooms/7179321
7185881,68,Hyde Park,1,NA,1,1,98,12,https://www.airbnb.com/rooms/7185881
7222349,59,Dorchester,2,NA,1,1,96,131,https://www.airbnb.com/rooms/7222349
7239024,61,Dorchester,2,NA,1,1,98,197,https://www.airbnb.com/rooms/7239024
7273770,150,Jamaica Plain,4,NA,2,2,88,5,https://www.airbnb.com/rooms/7273770
